iso3,year,gdp_growth,private_credit,inflation,trade_openness,unemployment,credit_gap,LPI
NGA,2007,6.59113036068679,13.7970169332616,5.38800796858626,,3.794,0.8160397742231786,6.890054903402739
NGA,2008,6.76447277780228,18.6330147009187,11.5810751748252,,3.792,0.7515598039877507,6.64191477672155
NGA,2009,8.03692510099023,19.6256016608172,12.5378277304689,,3.763,0.7383253111891039,6.541318146004598
NGA,2010,8.00565591628701,13.490742840586,13.7400521363694,,3.744,0.8201234287921867,6.814542117397948
NGA,2011,5.30792420289453,11.0436296114106,10.8261371880017,,3.77,0.852751605181192,6.984873551533093
NGA,2012,4.23006117493223,10.6047037712344,12.2242413020584,,3.761,0.8586039497168747,6.990209454885166
NGA,2013,6.67133539306167,11.5332149415284,8.49551838265669,,3.711,0.8462238007796213,6.851336524693175
NGA,2014,6.30971865525431,13.2970053767392,8.04741087967907,,3.9,0.8227065949768106,7.108555720409561
NGA,2015,2.65269329543001,13.0786844773698,9.00943498007706,,4.134,0.8256175403017361,7.547102911607378
NGA,2016,-1.61686894906509,14.6080388563102,15.6968126387972,,4.499,0.8052261485825307,8.121712442472806
NGA,2017,0.805886619102438,12.8520298076198,16.5022662139641,,4.83,0.8286396025650693,8.832329280389285
NGA,2018,1.92275734200614,10.2465813012399,12.0951065173432,,5.069,0.8633789159834679,9.4454677251202
NGA,2019,2.20842927714892,7.92322265931715,11.3964223378116,,5.206,0.8943570312091047,9.8620227044746
NGA,2020,-6.36889840510109,8.75958559532732,13.2460234276597,,5.714,0.8832055253956357,10.760636372110664
NGA,2021,1.10925253938163,9.73322136915707,16.9528457221608,,5.404,0.8702237150779057,10.106688956281003
NGA,2022,4.31882949523192,9.56169176668422,18.8471877843274,,3.827,0.8725107764442104,7.166098741451993
NGA,2023,3.32684556421316,,24.659550203114,,3.074,,
NGA,2024,4.06236408888319,,33.2420966545406,,3.045,,
SLE,2000,6.65273028404766,2.10803360905412,,57.5299628959222,4.137,0.9718928852126117,8.157720866124574
SLE,2001,-6.34545563328469,1.03162412769318,,35.9381586081315,4.235,0.9862450116307576,8.41174762425626
SLE,2002,26.5241350674409,1.2966126450079,,38.9169111968846,3.909,0.9827118313998947,7.750420548942189
SLE,2003,9.48363126885343,1.85152881468202,,46.4464363702625,3.879,0.975312949137573,7.662238929704646
SLE,2004,6.47884588417347,2.23929435550621,,46.1719991766037,3.42,0.9701427419265839,6.737888177388917
SLE,2005,4.3534998069981,2.16953030664871,,47.547983989225,3.734,0.9710729292446839,7.359986317799649
SLE,2006,4.28311062264335,1.95445378938047,,22.0888664739674,3.89,0.9739406161415938,7.6786289967908
SLE,2007,3.74975804751641,2.57102263810254,11.6499744518106,21.8067992689239,4.022,0.9657196981586328,7.906124625994021
SLE,2008,3.68605969932123,3.35926777488606,8.21112432289608,21.2566155636984,4.132,0.9552097630015192,8.078926740722277
SLE,2009,1.53080323958716,5.10499215021143,7.46901898540982,23.0753395976546,4.268,0.9319334379971809,8.245491913371968
SLE,2010,6.35566595800495,4.73162828499164,7.18566275668163,27.9541259241389,4.34,0.9369116228667781,8.406196443241816
